codigoProduto;descricaoProduto;unidadeProduto;NCMProduto
46837;SOBREMESA LACTEA COM COCO BIRO BIRO 400GR;UN;19019020  
55996;BEBIDA LACTEA VIGOR VITAMINA TODO DIA BDJ.540GR;UN;22029900  
46139;ABS.SYM PROTETOR DIARIO S/ PERF.15UN;UN;96190000  
55636;ESCOVA DENTAL DENTIL INFANTIL EXTRA MACIA UN.;UN;96032100  
45903;CANUDO FRITO BIRO-BIRO 170GR;UN;19059090  
56229;BUCHA VEGETAL AMAZON LUVA UN.;UN;39249000  
46219;BISC.TRIUNFO AGUA E SAL 375GR;UN;19053100  
55641;PINCEL P/PINTURA ESC.VIRGILI P-20-REF.406065;UN;96032900  
46854;SHAMPOO SEDA LISO EXTREMO 325ML;UN;33051000  
56237;REQUEIJAO CREMILLE 200GR;UN;04061090  
46152;REFRIGERANTE FANTA GUARANA LATA 350ML;UN;22021000  
55645;BALA BUTTER TOFFES CHOCOLATE 100GR;UN;18069000  
45933;MAC.NISSIN MIOJO SUAVE CALDINHO DE FEIJAO 85GR;UN;19023000  
56238;BISC.LIANE WAFFER BRIGADEIRO 115GR;UN;19053200  
46229;LUVA LATEX SANRO AM TAM M 1 UN;UN;40151200  
55650;CREME TRATAMENTO SKALA KIDS 1KG;UN;33059000  
46861;GANCHO VIRGILI C/BUCHA 2UN/REF.210042;UN;73181300  
56239;CHINELO HAVAIANA BRASIL 41/42 PR.UN.;UN;64022000  
46157;ATUM GOMES DA COSTA RALADO M.PICANTE LT.130GR.;UN;16042010  
55652;ENX.BUCAL COLGATE PLAX ICE INFINITY 180ML;UN;33069000  
45935;SAB.FARNESE FLORAL 180GR;UN;34011190  
56267;LAVA ROUPAS EM PO OMO LAV.PERF.AT.CONC.CX.1,600GR;UN;34025000  
46240;CHA DR.OETKER CARQUEJA CX.15GR;UN;12119090  
55653;KIT COZINHA CIA DO LAR 6 PECAS;UN;63025300  
46866;INDY BRILHA PNEU START 500ML;UN;34029019  
56269;COND.MONANGE CACHOS PERFEITOS NOVO 350ML;UN;33059000  
46173;CHINELO HAVAIANAS TOP PRE.39/40;UN;64022000  
55657;ACHOC.PALATE INSTANTANEO SACHE 400GR.;UN;18069000  
45943;CANETAS BIC CRISTAL FINA VERMELHA UN.;UN;96081000  
56271;CAIXA TERMICA ISOTERM 13LT.;UN;39231090  
46244;GOMA DELI DOCURA KIDOCURA 180GR;UN;17049020  
55665;CHOC.NESTLE ALPINO EXTRA CREMOSO 90GR;UN;18063210  
46868;MOLHO SALSARETTI MANJERICAO SACHE 340GR;UN;21032010  
56277;SAB.LIQ.INTIMUS SUAVE LEVE 200 PG 150ML;UN;34013000  
46191;POLIDOR DE SAPATOS NUGGET PRETO LATA 36GR;UN;34051000  
55667;DOCE DE LEITE ILOLAY 400GR;UN;19019020  
45945;ATUM GOMES DA COSTA RAL.EM OLEO LATA 130GR.;UN;16042010  
56292;CHUPETA PEPETA SILICONE TAM.02 REF:1122-RS;UN;40149090  
46248;FILTRO DE PAPEL EVOLUTTO REUTILIZAVEL 103/30UN.;UN;48232090  
55673;REFRIGERANTE SPRITE LATA 350ML;UN;22021000  
46874;BUCHA VEGETAL LUVA PEREIRA UN;UN;14049090  
56294;DOCENETA SABOR LEITE CONDENSADO 20GR;UN;20079990  
46213;DES.AERO REXONA MEN INVISIBLE 90/150GR;UN;33072010  
55685;AVENTAL CIA DO LAR 0,70 X 0,48CM;UN;39249000  
45965;LASANHA SADIA BOLONHESA 600GR;UN;19022000  
56298;BALA BUTTER TOFFES CHOKKO TRUFA 100GR;UN;18069000  
46251;CORANTE GUARANY VERMELHO 40GR.;UN;32041400  
55691;BOMBONS SORTIDOS UN.;UN;18063210  
46875;SORVETE PICOLE JUNDIA LIMAO  60GR;UN;21050010  
56300;BEBIDA LACTEA VIGOR COCO TODO DIA BDJ.540GR;UN;04031000  
46215;ALPISTE KODILAR 500GR;UN;10083090  
55693;BALA HALLS MEL E LIMAO 25,2GR;UN;17049020  
45968;SUCO MAGUARY PREPARO CONC.SAB.CAJU 500ML;UN;21069010  
56330;PENEIRA INOX ORIGINAL LINE 10CM-COD.SL0291;UN;96040000  
46269;SAB.PALMOLIVE MANT.CACAU/KARITE 90GR;UN;34011190  
55696;BALA CANDY TOY ESPADAS SAMURAI 30GR;UN;95030099  
46877;AZEITE RENATA EXT. VIRGEM 500 ML;UN;15093000  
56334;COLA TEK BOND INSTANTANEA 5GR;UN;35061090  
46220;MOSTARDA KONSUMO 180GR;UN;21033021  
55699;BALA HALLS MORANGO 28GR;UN;17049020  
45990;RODINHO DE PIA PLASULTIL REF.5434-UN.;UN;39249000  
56339;CADERNO TILIBRA D+ MASC.140 X 200MM-96 FLS;UN;48202000  
46271;GARRAFA TERM. INVICTA IDEAL VERDE REF.8431-1LT.;UN;96170010  
55764;BISC.MABEL CRACKER MANTEIGA DE GARR.400GR;UN;19053100  
46898;AP.BIC COMFORT TWIN PELE NORMAL 2UN.;UN;82121020  
56348;BISCOITO DOCE PANCO MARIA 200GR;UN;19053100  
46235;LIMP.CASA & PERFUME MISTERO DI AMORE 1LT.;UN;34025000  
55765;PIRULITO MIGUELITO UN.150GR;UN;17049020  
45991;EMP.PEITO DE FRANGO RECH.P.P.E Q.PERDIGAO 100GR;UN;16023230  
56563;SAB.TURMA DA MONICA TOQ.DE AMENDOAS 75GR;UN;34011190  
46660;SUCO TEEN MAIS MARACUJA 20GR;UN;21069010  
55882;BALAS GEL.CANUDINHO DOCILE MOR.CITR.70GR;UN;17049020  
46900;LIMP.VEJA COZINHA LIMAO PULV.LEV.500 PG.400ML;UN;34025000  
56570;RUN BACARDI GOLD 980ML;UN;22084000  
46657;PALMITO BRAS PALM INTEIRO VD.300GR;UN;20089100  
55895;LAVA ROUPAS TIXAN YPE PRIMAVERA EMB.EC.SACHE 1LT;UN;34025000  
46001;ADOCANTE LINEA SUCRALOSE CX.50UN./40GR;UN;21069090  
56575;BEBIDA PIRASSUNUNGA 51 LATA 350ML;UN;22084000  
46663;FERMENTO EM PO KININO 100GR;UN;21023000  
55910;DOCES CASEIRO TASSONE LEITE PURO 75GR;UN;19019020  
46905;WHISKAS PEIXE AO MOLHO GATOS AD.LATA 290GR;UN;23099010  
56693;BISC. MARILAN MANTEIGA 400GR;UN;19053100  
46668;PENEIRA C/CABO GRANDE REF.659-UN.;UN;39241000  
55919;LUBRIFICANTE THREE BOND LUB 300ML;UN;27101932  
46005;REVISTAS 4,99;UN;49019900  
56757;TEE PVC LLR 1/2 AKROS VIRGILI REF.308165;UN;39174090  
46666;CHOCOLATE GAROTO BATON CREME MORANGO 16GR;UN;18063110  
55923;BISC.FOFINHO RECHEADO FLOCOS 110GR;UN;19053100  
46916;PATE DE SARDINHA GOMES DA COSTA LATA 150GR;UN;16042030  
56821;MASSA TALHARIM MEZZANI 500GR;UN;19021900  
46670;CHOCOLATE HERSHEYS COOKIES N CREME 20GR;UN;18063220  
55926;GELELE SLIME UNICORNIO 152GR;UN;95030099  
46009;VELA ANIVERSARIO REGINA N .7-UN.;UN;34060000  
57107;CAD.JEANS WORLD MAXIMA 96FLS;UN;48202000  
46684;ANTISSEPTICO LISTERINE COOL MINT 250ML;UN;33069000  
55929;CAD.PANAMERICANA 1/16 MERCENARY 100 X 70MM-40FLS;UN;48202000  
46935;ABS.INTIMUS DAYS PROT.D.S/PERF.LEV.40 PG.30UN.;UN;96190000  
57128;PASTA ACP FUME REF.1021/348MMX233MM UN.;UN;42021210  
46672;ENERG. RED BULL EN.DRINK 355ML;UN;22029900  
55931;GELATINAS ARCOR URSINHOS 70GR;UN;17049020  
46020;PASTILHAS TIC TAC MORANGO 16GR;UN;17049020  
57187;SIDRA CRISTAL DE PRATA 660ML;UN;22060010  
46690;AMENDOIM RUNNER KODILAR 500GR;UN;12024200  
55932;CHOC.NESTLE CLASSIC MEIO AMARGO 90GR;UN;18063210  
46936;BEB.LACTEA FERM.ARGENZIO MORANGO BDJ.540GR.;UN;04039000  
57234;"FACA PARA CARNE MUNDIAL 10"" PR.REF.7020-10";UN;82119210  
46675;FAR.DE MANDIOCA CRUA KININO 500GR;UN;11062000  
55942;CHOC.GAROTO BRANCO OPERETA BARRA 90GR;UN;17049010  
46027;BARRA CEREAL TRIO NUTS TRADICIONAL 25GR;UN;20081900  
57243;COMPOTA DE PESSEGO SCHRAMM 830G/450GR.;UN;20087010  
46723;SOQUETE S/CHAVE TW VIRGILI UN.;UN;85369030  
55946;DOCE BIRO BIRO PINGO DE OURO TRADICIONAL 200GR;UN;19019020  
46938;SH.GOTA DOURADA 7 ERVAS 340ML;UN;33051000  
57380;CAIXA TERMICA ISOTERM 28LTS;UN;39231090  
46683;TEMP.ESP. CHIMICHURRI KININO 15GR;UN;21039021  
55952;CEREAL MATINAL NESCAU DUO CX.210GR;UN;19041000  
46028;SALGADINHO BIRO BIRO PIZZA 180GR;UN;19059090  
57409;SUPORTE P/PRATELEIRA 8*10C/PAR. VIRGILI;UN;73021010  
46725;BUCHA BRILHO INOX LAM.12GR;UN;73231000  
55968;SAB.JOHNSONS EXPRESS ILUMINADORA 80GR;UN;34011190  
46954;POTE PLASUTIL ROSCA DEC.REF.3872-300ML;UN;39241000  
57453;CR.TRAT. SEDA LISO PERF. 400GR;UN;33059000  
46685;CHOCOLATE NESTLE CLASSIC DIET 25GR.;UN;18063210  
55970;CACAROLA ALUMINIO LUZ NOBRE 24 4,5LT;UN;76151000  
46031;AMENDOIM BIRO-BIRO CROC.TRADICIONAL 180GR;UN;20081100  
57642;SUPLEMENTO ALIM.POWERADE SAB.MIX DE FRUTAS 500ML;UN;22029900  
46759;CALDO KNORR COSTELA 57GR;UN;21041011  
55974;SHAMPOO SKALA OLEO DE ARGAN 325ML;UN;33051000  
46965;PRANCHETA OFICIO SOUZA REF.3018;UN;44219000  
57666;MANTEIGA AVIACAO S/SAL POTE 200GR;UN;04051000  
46696;FAR.TRIGO INTEGRAL GRINGS 500GR;UN;11010010  
55975;BEB.WIENBIER MISTA CERVEJA/VINHO 58 LATA 550ML;UN;22030000  
46032;AMENDO + MAIS COLORIDO 230GR.;UN;18069000  
57705;TEMP.KNORR MEU FRANGO ASSADO LIMAO E OREGANO 25GR;UN;21039021  
46769;GRAMPO MIGUELAO 15UN-REF.108042 (USO E CONSUMO);UN;73170020  
55981;FRALDA PAMPERS SUPERSEC PEQ.M/9UN.;UN;96190000  
46970;IOG.DANONE MORANGO 900GR;UN;04032000  
58083;DOCE DE AMENDOIM DADINHO 100GR;UN;20079090  
46698;CANETAS HIDROG.MARIPEL 6 CORES/6UN.;UN;96082000  
55985;KETCHUP SENOR MONTANA TRAD.200GR;UN;21032010  
46043;CADERNO FORONI BROCHURA 1/4- 60FLS.;UN;48202000  
58156;REFRIGERANTE FANTA MARACUJA PET.2LT;UN;22021000  
46771;LUSTRA MOVEIS POLIFLOR LAVANDA 20%-500ML;UN;34052000  
55999;CEREAL ROCKS OVOMALTINE 40GR;UN;19019090  
46977;SABONETE FARNESE DE AVEIA CX.90GR;UN;34011190  
58448;ROLO DE PINTURA ESPUMA ROMA 5CM;UN;96034010  
46716;TEMP.KININO ESPECIAL FRANGO 30GR;UN;21039021  
56231;VINHO TINTO DE MESA SUAVE MARCON VD.750ML;UN;22042100  
46046;SHAMPOO DOVE COCO RITUAL DE REPARACAO 200ML;UN;33051000  
58493;CADERNETA FANTASIA TAMOIO 64 FLS;UN;48202000  
46783;SAL LIGHT GRINGS 500GR;UN;25010020  
56235;CHOCOLATE ALPINO NESTLE BLACK TOP 90GR;UN;18063210  
46991;DES.AERO REXONA COTTON DRY 150ML-89GR;UN;33072010  
58523;ACUCAREIRO /FARINHEIRO JAGUAR R.0624/0,65LT.;UN;39241000  
46722;SALSICHA HOT-DOG SADIA 500GR;UN;16010000  
56256;CESTO FLOR ARQPLAST REF.25525;UN;39249000  
46047;SAB. PROTEX PROPOLIS 90GR;UN;34011190  
58557;MARGARINA CLAYBOM COM SAL 500GR;UN;15171000  
46785;ESC.DENTAL SORRISO MACIA UN.;UN;96032100  
56258;BISC.BAUDUCCO CHOCO BISCUIT AO LEITE 80GR;UN;19053100  
46994;AZEITONA V.FUGINI FATIADA SACHE 150GR;UN;20057000  
58589;REFR. FANTA MARACUJA LATA 350ML;UN;22021000  
46738;COCADA BIRO-BIRO CARAMELO 220GR;UN;20079990  
56259;SALGADINHO DORITOS 140GR;UN;19059090  
46050;AROMATIZANTE DE AMB.COALA CITRONELA 140ML;UN;33029019  
58616;MOELA DE FRANGO SADIA 1KG;UN;02071400  
46797;CERA RODABRILL AUTOM.LATA 200GR;UN;34053000  
56274;PASTA POLIBRAS NOV.OF.PRETA 245X335X20MM.;UN;42021210  
47002;LIXEIRA INPLAST 3.2LT;UN;39241000  
58813;ODORIZANTE LEVE BRISA 25GR;UN;33074900  
46739;BISCOITO MINEIRO CONRADO KELECK 150GR;UN;19059090  
56275;OLEO DE SOJA VILA VELHA 900ML;UN;15079011  
46054;DES.BOZZANO AERO FRESH 150ML/90GR;UN;33072010  
58828;TEMP.KNORR CARNE ASSADA CASEIRO 25GR;UN;21039021  
46820;RALO P/PIA JAPONES VIRGILI REF.708341-UN.;UN;96040000  
56281;ODOR.AIR WICK AERO FL.JASMIN EMB.ECO.360ML;UN;33074900  
47006;SH. PALMOLIVE KIDS CACHOS 350ML;UN;33051000  
58975;ESP.SCOTCH BRITE 3M 1UN.;UN;68053090  
46765;BOLO NEWBREAD CHOCOLATE 200GR;UN;19059090  
56282;ARROZ KOMETUDO INTEGRAL 1KG;UN;10062010  
46064;COLHER DESC.PLASTILANIA 50UN.;UN;39241000  
58976;CHINELO HAVAIANAS TOP PRETO 33/34;UN;64022000  
46824;ESTOPA ESPECIAL P/ LIMPEZA FIO LONGO 1UN;UN;52021000  
56284;FEIJAO PRETO KOMETUDO 1KG;UN;07133319  
47007;COND. PALMOLIVE KIDS CAB. CACHEADOS 350ML;UN;33059000  
59134;MANTEIGA DAVACA C/SAL 200GR.;UN;04051000  
46787;NESCAFE DOLCE GUSTO CAFFE MATINAL CX.144GR.;UN;09012100  
56289;CUMBUCA VERMELHA REF.104-500ML;UN;69111090  
46074;REGALIZ FINI MORANGO DOCE 80GR;UN;17049020  
59145;CERV.BRAHMA CHOPP LATA 269ML.;UN;22030000  
46832;NUTELLA FERRERO AVELA/CACAU 350GR;UN;18069000  
56296;CIGARRO ROTHMANS INTERNATIONAL(HILTON) 20UN.;UN;24022000  
47009;PASTA POLYCART VERDE REF.2004 340X230MM.;UN;48209000  
59376;COTOVELO VIRGILI LL 1/2 X45 REF.308236;UN;73072200  
46790;PAPEL SULFITE SENINHA AZUL 100 FLS.;UN;48025610  
56302;DES.AERO BIS HERBISSIMO 4 EM 1 DARK SILVER 150ML/9;UN;33072010  
46093;AMAC.DE ROUPAS BABY SOFT T.ENVOLVENTE 2LT.;UN;38099190  
59499;PANELA PRESSAO CLOCK ORIGINAL 4,5LT.;UN;76151000  
46838;SHAMPOO SEDA POS ALISAMENTO QUIM.325ML;UN;33051000  
56321;RODO PLASTICO JULIANA 1UN;UN;96039000  
47016;POTE QUADRADO JULIANA 1.5LT.;UN;39241000  
59624;COPO DESC.CRISTALCOPO 180ML/100UN.;UN;39241000  
46844;SUCO SERIGY CAJU 500ML;UN;20093900  
56323;TORRADA BAUDUCCO LIGHT 142GR;UN;19054000  
46122;MAC.LAMEN PREDILECTA GALINHA 85GR;UN;19023000  
59684;DOCES GALLEGO SORTIDOS UN.90GR;UN;20079090  
46860;COLHER PARA ARROZ ARUBA SIMONAGGIO REF.AB51;UN;82159910  
56354;ODORIZADOR DE AMB.COALA SPRAY BAMBU 120ML;UN;33074900  
47024;SORVETE JUNDIA COCO 2LT;UN;21050010  
59797;TINTA GUACHE MARIPEL 12UN.;UN;32131000  
46882;SORV.JUNDIA PICOLE IOG.GREGO TRAD.60GR;UN;21050010  
56362;SALGADINHO CHEETOS PARMESAO 160GR;UN;19041000  
46149;MOLHO DE MOSTARDA KENKO 200GR;UN;21033021  
59913;ABS.ALWAYS NOITES TRANQ. SECA LEV.8-PG.7UN.;UN;96190000  
46863;DOCE DE LEITE CARACU 800GR;UN;19019020  
56633;MOLHO DE PIMENTA ASTECA 500ML;UN;21039021  
47025;SAB.EM PO TIXAN SENSACOES CX.1KG.;UN;34022000  
59929;CREME DE LEITE PIRACANJUBA ZERO LACTOSE 200GR;UN;04015021  
46886;VEDANTE TORN.C/SILIC.VIRGILI 1/2 4UN/RE.308230;UN;39209910  
56634;MOLHO SHOYU HINOMOTO PREMIUM 150ML;UN;21031010  
46155;ENVELOPE VIRGILI OFICIO 5UN/REF.408148;UN;48171000  
59964;GOMA TRIDENT HORTELA CX.168GR-21UN.;UN;21069050  
46872;AMENDOIM STA.HEL.GRELHADITOS S/PELE 400GR.;UN;20081100  
56700;FARINHA TRIGO NITA 1KG;UN;11010010  
47033;CHINELO HAVAIANAS TOP MARINHO 35/36;UN;64022000  
59967;BUBBALOO HORT.MENTA CX.300GR-60UN.;UN;17041000  
46920;SORVETE FASCINO NATA COM MOR.JUNDIA 451ML;UN;21050010  
56857;PASTA ACP CRISTAL REF.1021/233MMX348MM UN.;UN;42021210  
46172;CABIDE VIRGILI PLAST.DE PRESSAO REF.708019;UN;83025000  
59968;BUBBALOO UVA CX.300GR-60UN.;UN;17041000  
46887;ALGODAO ISABABY HIDROFILO CX.50GR;UN;30059090  
56858;PASTA ESC.POLIBRAS SOFT AZUL 245 X 335 X 30MM.;UN;42021210  
47046;BISC. CHAMPAGNE MAGITLEC 300GR;UN;19053100  
59973;GOMA TRIDENT TUTTI-FRUTTI CX.168GR-21UN.;UN;21069050  
46925;CANELA EM PO JIMBELE 30GR;UN;09062000  
56976;RAVIOLLI MEZZANI 4 QUEIJOS 400GR;UN;19022000  
46179;CHOC.TORTUGUITA NAPOLITANO TRI SABOR 19GR;UN;18069000  
59976;GOMA TRIDENT MORANGO CX.168GR-21UN.;UN;21069050  
46891;LOCAO HIDR.DAVENE PERFUME ORIGINAL 180ML;UN;33072090  
57015;SEMENTE DE LINHACA NATURAL LIFE KODILAR 200GR;UN;12040090  
47051;GELATINA EM PO ROYAL LIMAO 25GR;UN;21069029  
59980;GOMA TRIDENT CANELA CX.168GR-21UN.;UN;21069050  
46939;COND. PALMOLIVE ANTI ARMADO 350ML;UN;33059000  
57025;INSET. RAID ACAO TOTAL 300ML;UN;38089119  
46193;LEMON PEPPER MULTI GOSTO 45GR;UN;21039021  
60046;GOMA TRIDENT MELANCIA CX.168GR-21UN.;UN;21069050  
46893;SALGADINHO CHEETOS PARMESAO 140GR;UN;19041000  
57043;FACA P/PAO SIMONAGGIO;UN;82119210  
47054;GRANOLA NAT.LIFE KODILAR CAST.300GR;UN;19049000  
60095;SABONETE BIOCREMA ESFOLIANTE 90GR;UN;34011190  
46942;ABS.SYM SUAVE SEM ABAS VERDE 8UN.;UN;96190000  
57143;PORTA QUEIJO RAINHA REF.118;UN;39241000  
46200;ACUCAR CRISTAL ORGANICO UNIAO 1KG.;UN;17019900  
60132;COPO CONICO UNIJET REF.0305-600ML;UN;39241000  
46903;MOLHO TOMATE POMAROLA BOLONHESA SC.300GR;UN;21032010  
57290;CENTENARIO KIDOCURA 100GR;UN;20079090  
47065;CHOCOLATE TRENTO MASSIMO 38% 30GR;UN;19053200  
60155;LEITE LONGA VIDA PIRACANJUBA ZERO LACTOSE CX.1LT.;UN;04012010  
46948;COLA P/CANO VIRGILI 17GR.;UN;35061090  
57297;FARINHA DE ROSCA KININO 500GR;UN;19019090  
46222;SUCO EM PO TEEN MAIS UVA 20GR;UN;21069010  
60167;GARRAFA TERM.INVICTA IDEAL PINK V.REF.1011.1LT.;UN;96170010  
46912;BATATA RUFFLES CHURRASCO 96GR;UN;20052000  
57320;VELA CANDLE JUNCO NR 8 1UN;UN;34060000  
47078;COLORACAO CREME NIELY COR&TON PRETO-2.0.;UN;33059000  
60249;ESCORREDOR MASSA INJEPLASTEC REF.289;UN;39241000  
46973;PESO P/ PANELA PRESSAO CLOCK REF.706195;UN;84811000  
57348;PRATO PLASTICO MEGA PLAST 1UND.;UN;39241000  
46223;CADERNO BR.FORONI REF.34.8906-9- 96FLS;UN;48202000  
60285;PANELA ALUMINIO NOVO LAR N.18;UN;82119210  
46915;CHOC.ARCOR BONOBON BEIJINHO 15GR;UN;19053200  
57404;CAFE GRAO DA TERRA 500GR;UN;09012100  
47080;SORVETE JUNDIA PICOLE ABACAXI 60GR;UN;21050010  
60290;DES.AERO TRES MARCHAND CLASSIC 90G/150ML;UN;33072010  
47005;TALCO JOHNSONS BABY 200GR.;UN;33049100  
57619;ABRIDOR DE LATAS INOX STARTOOL UN;UN;82055100  
46234;BALA ICELAND SORT. KIDOCURA 180GR;UN;17049020  
60294;TARGETA VIRGILI 3 C/ PARAFUSOS REF.208087;UN;83014000  
46917;CHICLETE SORTIDO KIDOCURA 90GR;UN;17041000  
57625;BRINQUEDO COM BALAS MONSTER FRUIT 25GR;UN;17049020  
47081;LASANHA SADIA PEITO DE PERU CX.600GR;UN;19022000  
60304;CARREGADOR 2 COISAS DE MARIA UN.;UN;85044010  
47022;LAVA AUTOS NEUTRO RODABRILL 500ML;UN;34029039  
57695;SUPLEMENTO ALIM.POWERADE SAB.UVA 500ML;UN;22029900  
46239;ACUCAR DEMERARA GRINGS 500GR;UN;17011400  
60306;SUPORTE 1 CELULAR UNIV.INOVA COISAS DE MARIA UN.;UN;39249000  
46926;GRAFITE P/ LAPISEIRA REF.406070/05MM.;UN;96092000  
57953;GELATINA KININO ZERO LIMAO 15GR;UN;21069029  
47086;BEB.NESTLE NESTON VITAMINA 280ML;UN;22029900  
60321;COND.SKALA OLEO DE ARGAN 325ML;UN;33059000  
47092;POTE JAGUAR RET.REF.4008-750ML;UN;39241000  
58093;CHICLETES PLUTONITA UN.;UN;17041000  
46250;CORANTE GUARANY MARINHO 40GR;UN;32041400  
60341;DESINFETANTE BRILHANTE PINHO 500ML;UN;38089419  
46931;PICLES EM CONSERVA DIZA VD.200GR;UN;20019000  
58194;PASTELZINHO TRES IRMAS 180GR;UN;19053010  
47123;DESINFETANTE KALIPTO EUCALIPTO 500ML;UN;38089419  
60347;BALA BUTTER TOFFES CHOKKO CHOC.AMARGO 100GR;UN;18069000  
47100;BISNAGA DE MOSTARDA TP.BRANCA BLUPLAST UN;UN;39241000  
58197;AMENDO + MAIS FRITO SALGADO 200GR;UN;20081100  
46252;LAVA ROUPAS COQUEL COCO 500ML;UN;34025000  
60359;ACHOC.NESCAU LIGHT NESTLE LATA 400GR;UN;18069000  
46972;SELO P/ PAN.CLOCK VIRGILI REF.708212;UN;40169300  
58333;JARRA C/ ESPREMEDOR ERCAPLAST 1.8LT;UN;39241000  
47154;TEMP.KININO MASSAS BATATAS ARROZ 50GR;UN;21039021  
60362;CADERNO MAXIMA X-PHOTO 1/4-200 X 135MM-96FLS;UN;48202000  
47111;TALCO TENYS PE BARUEL CANF.100GR;UN;33072090  
58506;FORMA P/ GELO JAGUAR REF.0615;UN;39241000  
46258;PEPINO JUREIA EM CONSERVA VD.300GR;UN;20011000  
60363;LOCAO HIDR.MONANGE IOGURTE COM AVEIA 200ML;UN;33072090  
46974;CADEADO VIRGILI PADLOCK N.32-REF.209145;UN;83011000  
58513;JARRA C/ESPR. ERCAPLAST R.988/UN.;UN;39241000  
47157;GORDURA VEGETAL SAUDE 500GR;UN;15162000  
60377;DES.AERO REXONA FRUTAS VERMELHAS 150ML/90GR;UN;33072010  
47112;SORVETE JUNDIA GREGO TRADICIONAL 2LT.;UN;21050010  
58601;PURIF. BOM AIR WICK FRESH REFIL 12ML/6.9GR;UN;33074900  
46260;APAR.BARBEAR PROBAK II C/2UN.;UN;82121020  
60380;LIMPADOR AJAX MULTIUSO EUCALIPTO-M.V.500ML;UN;34022000  
46990;VASSOURA JULIANA D10 UN.;UN;96039000  
58635;VELA ANIVERSARIO REGINA GLITTER NR8;UN;34060000  
47163;COND.ELSEVE SUPREME CONTROL 4D 200ML;UN;33059000  
60385;LIMPADOR MR.MUSCULO MANHA DO CAMPO 500ML;UN;34022000  
47118;SAB.PROTEX OMEGA 3 90GR;UN;34011190  
58784;BEBIDA ASKOV ICE FRUTAS VERM.VD.275ML;UN;22089000  
46263;REVISTAS REPLAY MAGAZINE 14,90;UN;49019900  
60389;JARRA OVAL COM ESPREMEDOR PLASNEW 1,8LT-REF.280;UN;39241000  
47013;CHOC.ARCOR CHOKKO CROCANTE 90GR;UN;18063210  
58786;LUVA SANRO TOP TAM.P-UN.;UN;40151200  
47197;WHISKAS PATE PARA GATOS AD.1+ FRANGO LATA 290GR;UN;23099010  
60397;VASSOURA BETTANIN NOVICA FACIL REF.BT68215;UN;96039000  
47127;CHA VERDE INT.MATCHA GRINGS T.C/GENG.7GR;UN;09021000  
58962;COPO GRADUADO C/TAMPA REF1084 UN;UN;39241000  
46380;IOG.VIGOR GREGO FR.AMARELAS 100GR;UN;04031000  
60411;NESCAFE DOLCE GUSTO ESPRESSO INTENSO 10 UN.80GR;UN;09012100  
47014;CHOC.ARCOR CHOKKO AMENDOIM 90GR;UN;18063210  
59018;POTE HERMETICO NITRON 4,3L;UN;39241000  
47229;SHAMPOO SEDA CRESCIMENTO SAUDAVEL 325ML;UN;33051000  
60433;BISC.FOFINHO RECHEADO BAUNILHA 110GR;UN;19053100  
47138;CLORO LIQUIDO POLILUZ 1LT.;UN;28289011  
59100;STEACK FRANGO LAR 100GR;UN;16023230  
46655;SABONETE CLOY RED FRUITS  CX.2UN.DE 80GR.;UN;34011190  
60454;DOCE CASEIRO ABOBORA TONY KELLY 55GR;UN;20079090  
47052;GELATINA EM PO ROYAL UVA 25GR.;UN;21069029  
59188;CHINELO HAVAIANA BRASIL 35/36 AZ.UN.;UN;64022000  
47240;CAPPUCCINO 3 CORACOES CHOC.200GR;UN;21011190  
60462;ASPARGO DIZA VD.320GR;UN;20056000  
47139;LEITE EM PO NINHO ZERO LACTOSE LATA 380GR;UN;19011010  
59254;MARG.QUALY AERA COM SAL 250GR.;UN;15171000  
46665;FIO DENTAL DENTIL PREMIUM MENTA 100MT.;UN;33062000  
60465;BATATA SENSACOES PEITO DE PERU ELMA C.55GR;UN;20052000  
47060;SOPA DE CEBOLA KODILAR 65GR;UN;21041011  
59342;COPO INFANTIL JAGUAR REF.1490/245ML;UN;39241000  
47247;CAFE PELE SOLUVEL GRANULADO VD.100GR;UN;21011110  
60480;CONJ.MAC.RENATA INST.LAMEN EXP.CAR./GAL.4UN-340GR;UN;19023000  
47141;CR.HIDR.SKALA 12 EM 1 1KG.;UN;33059000  
59374;LUVA VIRGILI LL 3/4 X 1/2 REF.308196;UN;39174010  
46674;LAVA ROUPAS OLA ORIGINAL 500ML;UN;34025000  
60483;BALA ICEKISS HORTELA 130GR;UN;17049020  
47073;CANJICA AMARELA JIMBELE 500GR;UN;10059090  
59486;FORMA P/GELO INPLAST REF.6626/2UN.;UN;39241000  
47251;SH.ELSEVE LOREAL REP.TOTAL 5+ 200ML;UN;33051000  
60485;FILE DE MERLUZA IGLU 400GR.;UN;03047400  
47146;DES. ROLL-ON NIVEA POWDER COMFORT 50ML.;UN;33072010  
59617;FARINHA DE MANDIOCA YOKI TORRADA 500GR;UN;11081900  
46704;SUCO CAMP PO PARA PREPARO SAB.GOIABA 15GR;UN;21069010  
60535;FUMO DESFIADO PANTANEIRO 21GR;UN;24031900  
47074;ESCOVA SANIT.CHICK CLEAN COM SUPORTE UN;UN;96039000  
59743;SAND.AURORA FAROESTE X-PICANHA 130GR;UN;16029000  
47252;SHAMPOO SEDA OLEO HIDRATACAO 325ML;UN;33051000  
60539;BISC.WAFER KID LAT CHOCOLATE 115GR.;UN;19053200  
